[2025-03-29 05:30:20,428: INFO: main: Welcome to our custom log]
[2025-04-03 06:42:04,264: INFO: common: yaml file: c:\Sneha\Kidney-Disease-Classification-Deep-Learning-Project\config\config.yaml loaded successfully]
[2025-04-03 07:00:12,944: INFO: common: yaml file: c:\Sneha\Kidney-Disease-Classification-Deep-Learning-Project\config\config.yaml loaded successfully]
[2025-04-03 07:00:12,946: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-03 07:01:03,644: INFO: common: yaml file: c:\Sneha\Kidney-Disease-Classification-Deep-Learning-Project\config\config.yaml loaded successfully]
[2025-04-03 07:01:03,656: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-03 07:01:03,659: INFO: common: created directory at: artifacts]
[2025-04-03 07:01:03,661: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-03 07:02:02,941: INFO: common: yaml file: c:\Sneha\Kidney-Disease-Classification-Deep-Learning-Project\config\config.yaml loaded successfully]
[2025-04-03 07:02:02,943: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-03 07:02:02,944: INFO: common: created directory at: artifacts]
[2025-04-03 07:02:02,946: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-03 07:03:19,109: INFO: common: yaml file: c:\Sneha\Kidney-Disease-Classification-Deep-Learning-Project\config\config.yaml loaded successfully]
[2025-04-03 07:03:44,453: INFO: common: yaml file: c:\Sneha\Kidney-Disease-Classification-Deep-Learning-Project\config\config.yaml loaded successfully]
[2025-04-03 07:05:21,190: INFO: common: yaml file: c:\Sneha\Kidney-Disease-Classification-Deep-Learning-Project\config\config.yaml loaded successfully]
[2025-04-03 07:06:24,782: INFO: common: yaml file: c:\Sneha\Kidney-Disease-Classification-Deep-Learning-Project\config\config.yaml loaded successfully]
[2025-04-03 07:07:15,494: INFO: common: yaml file: c:\Sneha\Kidney-Disease-Classification-Deep-Learning-Project\config\config.yaml loaded successfully]
[2025-04-03 13:51:20,712: INFO: common: yaml file: c:\Sneha\Kidney-Disease-Classification-Deep-Learning-Project\config\config.yaml loaded successfully]
[2025-04-03 13:51:20,718: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-03 13:51:20,721: INFO: common: created directory at: artifacts]
[2025-04-03 13:51:20,724: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-03 13:52:02,611: INFO: common: yaml file: c:\Sneha\Kidney-Disease-Classification-Deep-Learning-Project\config\config.yaml loaded successfully]
[2025-04-03 13:52:02,615: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-03 13:52:02,616: INFO: common: created directory at: artifacts]
[2025-04-03 13:52:02,617: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-03 13:52:02,619: INFO: 1287066829: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-04-03 13:54:20,408: INFO: common: yaml file: c:\Sneha\Kidney-Disease-Classification-Deep-Learning-Project\config\config.yaml loaded successfully]
[2025-04-03 13:54:20,408: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-03 13:54:20,408: INFO: common: created directory at: artifacts]
[2025-04-03 13:54:20,408: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-03 13:54:20,408: INFO: 1287066829: Downloading data from https://drive.google.com/file/d/1ervvqzDMbDV3kqGxhEunG7Syx8TYnS4F/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2025-04-03 13:55:29,058: INFO: common: yaml file: c:\Sneha\Kidney-Disease-Classification-Deep-Learning-Project\config\config.yaml loaded successfully]
[2025-04-03 13:55:29,060: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-03 13:55:29,062: INFO: common: created directory at: artifacts]
[2025-04-03 13:55:29,063: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-03 13:55:29,065: INFO: 629715597: Downloading data from https://drive.google.com/file/d/1ervvqzDMbDV3kqGxhEunG7Syx8TYnS4F/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2025-04-03 13:55:56,868: INFO: common: yaml file: c:\Sneha\Kidney-Disease-Classification-Deep-Learning-Project\config\config.yaml loaded successfully]
[2025-04-03 13:55:56,870: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-03 13:55:56,871: INFO: common: created directory at: artifacts]
[2025-04-03 13:55:56,873: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-03 13:55:56,874: INFO: 2789358618: Downloading data from https://drive.google.com/file/d/1ervvqzDMbDV3kqGxhEunG7Syx8TYnS4F/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2025-04-03 13:57:58,699: INFO: common: yaml file: c:\Sneha\Kidney-Disease-Classification-Deep-Learning-Project\config\config.yaml loaded successfully]
[2025-04-03 13:57:58,699: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-03 13:57:58,699: INFO: common: created directory at: artifacts]
[2025-04-03 13:57:58,699: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-03 13:57:58,699: INFO: 2789358618: Downloading data from https://drive.google.com/file/d/1ervvqzDMbDV3kqGxhEunG7Syx8TYnS4F/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2025-04-03 13:59:55,479: INFO: common: yaml file: c:\Sneha\Kidney-Disease-Classification-Deep-Learning-Project\config\config.yaml loaded successfully]
[2025-04-03 13:59:55,481: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-03 13:59:55,483: INFO: common: created directory at: artifacts]
[2025-04-03 13:59:55,484: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-03 13:59:55,486: INFO: 3008361877: Downloading data from https://drive.google.com/file/d/1ervvqzDMbDV3kqGxhEunG7Syx8TYnS4F/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2025-04-03 14:01:08,708: INFO: 3008361877: Downloading data from https://drive.google.com/file/d/1ervvqzDMbDV3kqGxhEunG7Syx8TYnS4F/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2025-04-03 14:06:09,962: INFO: common: yaml file: c:\Sneha\Kidney-Disease-Classification-Deep-Learning-Project\config\config.yaml loaded successfully]
[2025-04-03 14:06:09,964: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-03 14:06:09,966: INFO: common: created directory at: artifacts]
[2025-04-03 14:06:09,968: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-03 14:06:09,969: INFO: 3008361877: Downloading data from https://drive.google.com/file/d/1ervvqzDMbDV3kqGxhEunG7Syx8TYnS4F/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2025-04-03 14:06:51,202: INFO: 3008361877: Downloading data from https://drive.google.com/file/d/1ervvqzDMbDV3kqGxhEunG7Syx8TYnS4F/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2025-04-03 14:08:38,427: INFO: common: yaml file: c:\Sneha\Kidney-Disease-Classification-Deep-Learning-Project\config\config.yaml loaded successfully]
[2025-04-03 14:08:38,430: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-03 14:08:38,432: INFO: common: created directory at: artifacts]
[2025-04-03 14:08:38,434: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-03 14:08:38,435: INFO: 941188347: Downloading data from https://drive.google.com/file/d/1ervvqzDMbDV3kqGxhEunG7Syx8TYnS4F/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2025-04-03 14:09:08,795: INFO: 941188347: Downloading data from https://drive.google.com/file/d/1ervvqzDMbDV3kqGxhEunG7Syx8TYnS4F/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2025-04-03 14:15:15,032: INFO: common: yaml file: c:\Sneha\Kidney-Disease-Classification-Deep-Learning-Project\config\config.yaml loaded successfully]
[2025-04-03 14:15:15,034: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-03 14:15:15,036: INFO: common: created directory at: artifacts]
[2025-04-03 14:15:15,037: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-03 14:15:15,037: INFO: 2253650300: Downloading data from https://drive.google.com/file/d/1ervvqzDMbDV3kqGxhEunG7Syx8TYnS4F/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2025-04-03 14:16:05,391: INFO: common: yaml file: c:\Sneha\Kidney-Disease-Classification-Deep-Learning-Project\config\config.yaml loaded successfully]
[2025-04-03 14:16:05,396: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-03 14:16:05,397: INFO: common: created directory at: artifacts]
[2025-04-03 14:16:05,400: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-03 14:16:05,403: INFO: 2253650300: Downloading data from https://drive.google.com/file/d/1ervvqzDMbDV3kqGxhEunG7Syx8TYnS4F/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2025-04-03 14:16:21,705: INFO: common: yaml file: c:\Sneha\Kidney-Disease-Classification-Deep-Learning-Project\config\config.yaml loaded successfully]
[2025-04-03 14:16:21,709: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-03 14:16:21,711: INFO: common: created directory at: artifacts]
[2025-04-03 14:16:21,713: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-03 14:16:51,588: INFO: common: yaml file: c:\Sneha\Kidney-Disease-Classification-Deep-Learning-Project\config\config.yaml loaded successfully]
[2025-04-03 14:16:51,592: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-03 14:16:51,593: INFO: common: created directory at: artifacts]
[2025-04-03 14:16:51,597: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-03 14:16:51,598: INFO: 3008361877: Downloading data from https://drive.google.com/file/d/1ervvqzDMbDV3kqGxhEunG7Syx8TYnS4F/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2025-04-03 14:17:30,709: INFO: 3008361877: Downloading data from https://drive.google.com/file/d/1ervvqzDMbDV3kqGxhEunG7Syx8TYnS4F/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2025-04-03 14:19:25,357: INFO: common: yaml file: c:\Sneha\Kidney-Disease-Classification-Deep-Learning-Project\config\config.yaml loaded successfully]
[2025-04-03 14:19:25,360: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-03 14:19:25,361: INFO: common: created directory at: artifacts]
[2025-04-03 14:19:25,363: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-03 14:19:25,365: INFO: 1816723652: Downloading data from https://drive.google.com/file/d/1ervvqzDMbDV3kqGxhEunG7Syx8TYnS4F/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2025-04-03 14:19:52,407: INFO: 1816723652: Downloading data from https://drive.google.com/file/d/1ervvqzDMbDV3kqGxhEunG7Syx8TYnS4F/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2025-04-03 14:26:27,417: INFO: common: yaml file: c:\Sneha\Kidney-Disease-Classification-Deep-Learning-Project\config\config.yaml loaded successfully]
[2025-04-03 14:26:27,419: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-03 14:26:27,419: INFO: common: created directory at: artifacts]
[2025-04-03 14:26:27,419: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-03 14:26:27,419: INFO: 1816723652: Downloading data from https://drive.google.com/file/d/1EX7Vf2CUuEQy4CwxVMPfZctkiKek_Qbw/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2025-04-03 14:27:08,863: INFO: 1816723652: Downloading data from https://drive.google.com/file/d/1EX7Vf2CUuEQy4CwxVMPfZctkiKek_Qbw/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2025-04-03 15:56:10,503: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-04-03 15:56:10,503: INFO: common: yaml file: c:\Sneha\Kidney-Disease-Classification-Deep-Learning-Project\config\config.yaml loaded successfully]
[2025-04-03 15:56:10,509: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-03 15:56:10,510: INFO: common: created directory at: artifacts]
[2025-04-03 15:56:10,511: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-03 15:56:10,513: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1EX7Vf2CUuEQy4CwxVMPfZctkiKek_Qbw/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2025-04-03 15:57:35,494: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1EX7Vf2CUuEQy4CwxVMPfZctkiKek_Qbw/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2025-04-03 15:57:36,564: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<<

x==========x]
[2025-04-03 16:00:55,842: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-04-03 16:00:55,861: INFO: common: yaml file: c:\Sneha\Kidney-Disease-Classification-Deep-Learning-Project\config\config.yaml loaded successfully]
[2025-04-03 16:00:55,882: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-03 16:00:55,882: INFO: common: created directory at: artifacts]
[2025-04-03 16:00:55,882: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-03 16:00:55,882: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1EX7Vf2CUuEQy4CwxVMPfZctkiKek_Qbw/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2025-04-03 16:01:15,315: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1EX7Vf2CUuEQy4CwxVMPfZctkiKek_Qbw/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2025-04-03 16:01:16,028: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<<

x==========x]
